Index,vehSpd_RT,vehSpd_GoPro,accLong_RT,accLong_GoPro,accLat_RT,accLat_GoPro
1,9.028497839,10.11933434,1.15759907,-1.139960759,0.420632285,0.25354262
2,9.107565076,10.11933434,0.380003726,-1.114148681,0.143681666,0.369184652
3,9.196299083,10.15589427,0.715845618,-0.977577938,0.115767548,-0.01822542
4,9.282356149,10.04952363,0.276136956,-1.099583491,0.094821399,0.167613278
5,9.346303032,10.26523242,0.921581986,-1.016666667,0.190446856,0.076258993
6,9.407536261,10.29856724,1.04451243,-1.123021583,0.290686509,0.002158273
7,9.468690452,10.19491012,0.647188177,-1.163669065,0.489234893,0.09940048
8,9.537895691,10.27277156,0.569213092,-1.107314149,0.319245955,0.223980815
9,9.60704614,10.46091918,0.558740857,-0.930455635,0.514822271,0.047961631
10,9.672297962,10.50876864,0.62063067,-0.819904077,0.500253003,0.104916067
11,9.730544724,10.57890965,0.609503916,-1.271942446,0.379331863,0.103956835
12,9.786962258,10.45174774,0.538853068,-1.416666667,0.684767279,0.019904077
13,9.848046316,10.52389239,0.686638206,-1.200119904,0.687778059,0.043645084
14,9.90927743,10.86113233,0.579041106,-0.696074719,0.562650538,0.021961378
15,9.966477117,10.86113233,0.507319875,-0.65,0.65183349,-0.069544365
16,10.0270314,10.59762964,0.639538369,-0.899280576,0.507621699,0.186330935
17,10.08737468,10.08838421,0.675215876,-1.383453237,0.293934048,0.016426859
18,10.14631942,9.865813685,0.466045953,-1.193405276,0.536152845,0.097601918
19,10.20024232,10.33971523,0.655668248,-1.077577938,0.678131509,-0.032014388
20,10.25846974,10.33971523,0.624924097,-0.777357062,0.382290077,0.008961252
21,10.31341154,11.07515837,0.460252415,-1.164388489,0.47567439,-0.114268585
22,10.37458875,11.25375468,0.448456865,-0.881534772,0.304308937,-0.052038369
23,10.43625139,10.87077688,0.51462347,-0.987529976,0.424339714,-0.234172662
24,10.49636812,11.56503652,0.501092885,-1.236930456,0.333618452,0.023261391
25,10.54957034,11.09848428,0.584646303,-0.856493752,0.243797097,-0.011485548
26,10.60002367,11.28627647,0.498700757,-1.071103118,0.289836619,-0.247601918
27,10.66524643,11.29276948,0.662218845,-1.051199041,0.398905375,0.199880096
28,10.73569735,11.30247274,0.522200256,-0.93117506,0.41470124,0.173261391
29,10.80122714,11.86071799,0.673623768,-0.873741007,0.341917912,-0.394964029
30,10.85326606,11.61044984,0.674931477,-1.113429257,0.38209127,0.04028777
31,10.90122913,11.61044984,0.641899473,-1.121797299,0.288402573,0.10059321
32,10.95554384,11.74281962,0.656214099,-1.239448441,0.478817204,-0.21294964
33,11.02852148,11.78797697,0.392779353,-0.893884892,0.381760685,-0.332494005
34,11.09077872,12.11593169,0.522260594,-0.870503597,0.413354173,-0.104196643
35,11.14872,12.06093467,0.670892199,-0.657673861,0.285093406,0.422422062
36,11.20658959,12.06093467,0.844303454,-0.87163953,0.661966494,-0.192477597
37,11.26453647,12.08727951,0.577686531,-1.213309353,0.677325591,0.423860911
38,11.32067207,12.043537,0.606980955,-1.262230216,0.734244552,0.02146283
39,11.38305565,12.26013241,0.472037868,-0.790647482,1.027847917,-0.002517986
40,11.4475099,11.7877439,0.669239702,-1.003534015,0.53506361,0.111195254
41,11.49928822,11.7877439,0.676651843,-0.618105516,0.312758973,0.18501199
42,11.56316523,13.48722808,0.641523922,-1.210671463,0.144671903,0.130815348
43,11.61879282,13.15867528,0.520869654,-0.643045564,0.41924467,0.347002398
44,11.67839085,12.39067614,0.811806925,-0.435611511,0.183952676,0.142685851
45,11.73476912,12.09069337,0.494622763,-0.939808153,0.114143781,-0.132494005
46,11.79734557,12.30567547,0.735322082,-0.828177458,0.286517782,0.151678657
47,11.85930195,12.23952665,0.470779628,-0.942572258,0.624363619,0.049728638
48,11.93194382,12.39506196,0.815026487,-0.821942446,0.34108964,0.021822542
49,11.9864627,12.26087133,0.767924709,-0.259232614,0.255402427,0.108872902
50,12.04466382,12.55650388,0.760610858,-0.51942446,0.80583747,0.30383693
51,12.1018623,12.86706638,1.048911841,-1.653357314,0.207442284,-0.077817746
52,12.15159621,12.21515134,0.680915878,-0.945601414,-0.285213136,-0.084816357
53,12.2184582,12.18063736,0.388518481,0.997482014,0.200960775,0.301079137
54,12.28463306,12.193052,0.890003173,0.51942446,0.919406219,0.562589928
55,12.33119556,12.01132021,0.880762762,-0.506115108,0.181345043,-0.535491607
56,12.37102017,11.99747299,0.728464705,-1.407074341,0.305086493,0.667386091
57,12.42012817,11.99777029,0.487484347,-0.565947242,0.216736896,-0.350498549
58,12.47115959,12.02216378,0.543704089,-0.248920863,0.221915038,0.317625899
59,12.50521572,12.89030604,0.409272434,-0.320983213,0.538199404,-0.204436451
60,12.53586963,12.33200805,0.657559499,-0.597961631,0.506913622,0.038609113
61,12.5840913,12.79746043,0.478639452,-0.97206235,0.425937107,-0.039688249
62,12.62869656,13.01737753,0.257289794,-0.659592326,0.483181113,-0.018465228
63,12.67827419,12.35373738,0.393571218,-0.330809037,0.332489911,-0.142622744
64,12.72563537,13.05154052,0.457871772,-0.585851319,0.395570498,-0.332134293
65,12.74875057,12.74392976,0.344819111,-0.601558753,0.47520247,0.129376499
66,12.78801346,13.03393262,0.614134601,-0.798800959,0.556563765,-0.067266187
67,12.85971155,13.21094408,0.28046312,-0.442086331,0.577964272,-0.032374101
68,12.89049298,13.00496538,0.2536123,-0.32172157,0.380763384,0.035466364
69,12.86773956,13.62299493,0.6656754,-0.935851319,0.674318266,0.123021583
70,12.85685641,13.48190898,0.645028693,-1.137889688,0.430790078,-0.21942446
71,12.87971273,13.38670425,0.052199287,-0.394844125,0.034146109,0.148561151
72,12.9298478,13.520797,-0.42697793,-0.276498801,0.7847864,0.038009592
73,12.95401316,13.67210954,0.037771907,-0.608633094,0.635177742,-0.110911271
74,12.97817818,13.78115629,0.317377045,-0.647608229,0.181458145,0.105263158
75,13.00586951,13.62651353,0.589371842,-0.691247002,0.676906648,0.033932854
76,13.04359927,13.25372102,0.028385451,-0.64736211,0.274324404,-0.007314149
77,13.095827,13.46488392,0.245023013,-0.51822542,0.575808753,0.137290168
78,13.13704976,13.60577667,0.228534462,-0.511870504,0.482829856,0.155395683
79,13.17298017,13.54838522,0.599301303,-0.834279944,0.526702812,0.033320712
80,13.21305678,13.53762274,0.230877505,-0.91498801,0.452834677,0.096882494
81,13.25422629,13.68706261,0.442175063,-0.509352518,0.324540766,0.082613909
82,13.3051953,13.86548132,0.392441705,-0.47529976,0.461567206,0.150959233
83,13.3364327,13.79721333,0.467957735,-0.484292566,0.409083349,0.137889688
84,13.36968957,13.96045414,0.414850845,-0.416508898,0.445048984,0.370061845
85,13.42049404,14.02833682,0.423957944,-0.568944844,0.484670726,0.16498801
86,13.47513132,14.04150848,0.151290024,-1.170143885,0.41544001,0.334292566
87,13.51339227,14.39559405,0.500872091,-0.628297362,0.926790473,-0.118585132
88,13.54575041,14.59563032,0.628693684,-0.129256595,0.173497867,0.018465228
89,13.58600338,14.48575818,0.378986725,-0.431654676,0.61868073,0.283573141
90,13.62732209,14.35384721,0.298265024,-0.968951155,0.769449545,0.275400732
91,13.67482611,14.48165476,0.444496101,-0.43177458,0.717955138,0.364508393
92,13.71277429,14.2979833,0.374213803,-0.35911271,0.67425832,-0.285251799
93,13.74839602,14.40656657,0.438369809,-0.829496403,0.630258119,0.295323741
94,13.78749426,14.4250065,0.558358198,-1.221702638,0.522366401,-0.349760192
95,13.83255997,14.10707623,0.285256423,-0.914931213,0.502774907,0.352517986
96,13.88156583,14.35891893,0.430935571,0.000959233,0.734815092,0.314748201
97,13.9208155,14.61165499,0.585028398,0.266426859,0.830512278,0.502278177
98,13.96090998,14.66982299,0.445791032,-0.50971223,0.582565817,0.46498801
99,13.9980107,14.76729404,0.485420881,-1.16235012,0.875196472,0.642685851
100,14.03093125,14.92787134,0.546463488,-0.947115991,0.427079795,0.444781017
101,14.07640138,14.66964804,0.393591594,-0.106834532,0.620051655,0.467505995
102,14.1344213,14.93736832,0.004662303,-0.393285372,0.602052016,0.094244604
103,14.18256698,14.83150413,0.313379227,-1.011151079,0.62160964,0.082613909
104,14.20868125,14.88299794,0.726038972,-0.882973621,0.737217264,0.092446043
105,14.24683513,14.91631803,0.495523868,-0.761151079,0.551074213,0.313549161
106,14.30490967,14.89161705,0.332182943,-0.625394421,0.842405052,0.471917203
107,14.34276152,14.9748728,0.270535846,-0.457314149,0.723431551,0.528057554
108,14.38270927,14.95602762,0.619003535,-0.460311751,1.129732537,0.523381295
109,14.43435775,15.29794286,0.61047503,-0.743405276,1.050222532,0.583453237
110,14.50921145,15.28732352,0.42963675,-0.71942446,1.056706582,0.481414868
111,14.57268837,15.00982211,0.442229009,-0.605831125,0.78955062,-0.1524675
112,14.60861849,15.22217048,0.686937446,-0.796402878,0.710375032,0.305635492
113,14.63824957,15.67877818,0.687610572,-0.385491607,0.6475653,0.485371703
114,14.68796283,15.53611384,0.560180657,0.217745803,1.088143571,0.568585132
115,14.76243925,15.30594492,0.127247993,-0.416306954,0.701798442,0.278177458
116,14.82358002,15.48696733,0.538565698,-0.866843367,0.92751074,-0.068029787
117,14.85614217,15.79163533,0.722134327,-0.997721823,0.945843379,-0.143764988
118,14.89430032,14.83372552,0.959705557,-0.811031175,1.133952521,0.240767386
119,14.95275797,14.80193264,0.343517136,-0.18117506,0.855222774,0.214388489
120,15.00713675,16.00438891,0.099243516,-0.330335731,0.87704886,0.522901679
121,15.05521932,15.30859062,0.573845337,-0.657673861,0.581482896,0.249880096
122,15.09923398,16.09984897,0.407720711,-0.699734949,0.84739527,-0.004038874
123,15.14350225,16.07319015,0.541958173,-0.585611511,0.697990869,0.307434053
124,15.18486867,15.32754767,0.423351404,-0.52529976,0.730535621,0.301438849
125,15.23754768,16.2342519,0.49261708,-0.471822542,0.829874635,0.258513189
126,15.29548842,16.22050457,0.421673725,-0.473381295,0.798203173,0.467146283
127,15.3528174,16.28355001,0.50815149,-0.569733687,1.598392861,0.247759687
128,15.41281043,16.02354263,0.752213053,-0.377697842,0.628446303,0.380935252
129,15.46706513,16.34251238,0.263204587,-0.234532374,0.915907079,0.432014388
130,15.49895828,16.36560761,0.561130956,-0.319784173,0.418614203,0.327458034
131,15.55202989,16.41473492,0.655232259,-0.492446043,0.472741533,0.26882494
132,15.62060747,15.78383125,0.385275312,-0.34736211,0.779881824,0.205275779
133,15.68620099,14.86681821,0.439903954,-0.456014136,0.924518108,0.412596239
134,15.74687635,14.93793982,0.614927707,-0.399040767,0.878865402,0.133573141
135,15.78534483,14.86592033,0.971496989,0.031894484,0.455394015,0.344244604
136,15.82373072,14.76378246,0.483498747,-0.956235012,0.540172351,-0.156834532
137,15.87116507,14.88098888,0.386856302,-0.563429257,0.495176852,0.064868106
138,15.92403651,15.08599395,0.578279584,0.260002524,0.860352334,0.119525432
139,15.9713374,15.26821963,0.24787219,0.055995204,0.822992738,0.793645084
140,16.01836326,15.61008243,0.534430288,-0.683453237,0.488448104,-0.078297362
